albinos: false
overseersSpawnChance: 0.05
overseersMin: 1
overseersMax: 3
playerGuideOverseerSpawnChance: 0.0
pupSpawnChance: 0.0
Subregion: Subway
Subregion: Maintenance
Subregion: Filtration System
Subregion: Aquifer
Subregion: Pipework
Subregion: Silos
Subregion: Retaining Wall
Room_Attr: GATE_TL_OE: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: GATE_DS_SB: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: GATE_LF_SB: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B01: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: TL_D01: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_C03: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_S01: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A01: BlackLizard-Avoid,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B02: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_C01: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MotherSpider-Avoid,
Room_Attr: TL_C02: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MotherSpider-Avoid,
Room_Attr: TL_A02: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_S02: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_E01: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MotherSpider-Avoid,
Room_Attr: TL_A03: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MotherSpider-Avoid,
Room_Attr: TL_B03: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_E02: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_G01: BlackLizard-Like,BigSpider-Like,SpitterSpider-Like,MotherSpider-Like,
Room_Attr: TL_S03: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MotherSpider-Forbidden,
Room_Attr: TL_A04: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_AC01: BlackLizard-Forbidden,LanternMouse-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B07: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_C09: BlackLizard-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,
Room_Attr: TL_C10: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A06: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B08: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A07: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_S06: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A08: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A09: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B09: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_A10: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_B10: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
Room_Attr: TL_K01: BlackLizard-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,
